fish_id,condition_id,Selected block,Selected block order,Fish median response / baseline,Contributing trials,Eligible,Ineligible reason
20230314_01,trace,LTe,2,1.0080672906472372,5,True,
20230314_04,trace,PTr,0,0.9807372265544276,5,True,
20230314_04,trace,ETe,1,0.9574494156066231,5,True,
20230314_04,trace,LTe,2,1.006797799208335,5,True,
20230314_06,trace,PTr,0,0.9639412367045028,5,True,
20230314_06,trace,ETe,1,0.9882691359365537,5,True,
20230314_06,trace,LTe,2,0.9919335145900425,5,True,
20230314_11,trace,PTr,0,1.0171219271285497,5,True,
20230314_11,trace,ETe,1,1.005171645319334,5,True,
20230314_11,trace,LTe,2,0.9933005782910332,5,True,
20230315_02,trace,PTr,0,0.9981033254416009,5,True,
20230315_02,trace,ETe,1,1.0104143691086478,5,True,
20230315_02,trace,LTe,2,1.0464514342906166,5,True,
20230315_06,trace,PTr,0,1.4901389753494452,5,True,
20230315_06,trace,ETe,1,1.263981131900716,5,True,
20230315_06,trace,LTe,2,1.012396217929379,5,True,
20230316_03,trace,PTr,0,1.1080832435065775,5,True,
20230316_03,trace,ETe,1,1.0176430915832044,5,True,
20230316_03,trace,LTe,2,0.9726479170191301,5,True,
20230316_06,trace,PTr,0,1.0596721723408784,5,True,
20230316_06,trace,ETe,1,0.9843142136353199,5,True,
20230316_06,trace,LTe,2,0.9843386595695345,5,True,
20230316_09,trace,PTr,0,1.0388322365694902,5,True,
20230316_09,trace,ETe,1,0.9854973754744034,5,True,
20230316_09,trace,LTe,2,0.9696976871158641,5,True,
20230316_12,trace,PTr,0,0.9620391352243393,5,True,
20230316_12,trace,ETe,1,0.9667212270226859,5,True,
20230316_12,trace,LTe,2,1.018640903170486,5,True,
20230516_01,trace,PTr,0,1.046869538803961,5,True,
20230516_01,trace,ETe,1,1.000969797144099,5,True,
20230516_01,trace,LTe,2,0.955196882098317,5,True,
20230516_08,trace,PTr,0,0.9990276363338308,5,True,
20230516_08,trace,ETe,1,0.9029946224634013,5,True,
20230516_08,trace,LTe,2,0.9527801327392197,5,True,
20230516_10,trace,PTr,0,1.011127094444143,5,True,
20230516_10,trace,ETe,1,1.0264408310162498,5,True,
20230516_10,trace,LTe,2,1.0692025660113842,5,True,
20230517_03,trace,PTr,0,0.9374626863095608,5,True,
20230517_03,trace,ETe,1,0.9992251925644177,5,True,
20230517_03,trace,LTe,2,0.9529582216856389,5,True,
20230517_05,trace,PTr,0,1.1112467123272054,5,True,
20230517_05,trace,ETe,1,1.2356744834699072,5,True,
20230517_05,trace,LTe,2,0.9957336756955961,5,True,
20230517_12,trace,PTr,0,1.1197443092960075,5,True,
20230517_12,trace,ETe,1,0.9482577074183042,5,True,
20230517_12,trace,LTe,2,0.9866829005452693,5,True,
20230518_02,trace,PTr,0,1.0587548558859627,5,True,
20230518_02,trace,ETe,1,1.0347952094231925,5,True,
20230518_02,trace,LTe,2,1.0162028014206232,5,True,
20230518_05,trace,PTr,0,1.1752234421725218,5,True,
20230518_05,trace,ETe,1,1.0772144039588682,5,True,
20230518_05,trace,LTe,2,1.211579117804276,5,True,
20230518_12,trace,PTr,0,1.334459159100345,5,True,
20230518_12,trace,ETe,1,1.022536683259379,5,True,
20230518_12,trace,LTe,2,1.1594780785034517,5,True,
20230519_04,trace,PTr,0,1.0920596661719804,5,True,
20230519_04,trace,ETe,1,0.9713633735138778,5,True,
20230519_04,trace,LTe,2,1.0540147682577985,5,True,
20230519_11,trace,PTr,0,1.0402449227686084,5,True,
20230519_11,trace,ETe,1,0.8495082730236172,5,True,
20230519_11,trace,LTe,2,0.9585821560037292,5,True,
